"EDR127155","Auctillus<br>Atilo +<br>CASEL++ (:Casellio?)<br>infelicia"
"EDR127187","C(aius) Lalius"
"EDR127366","Virilio"
"EDR127411","Anus<br>vita(e) m=<br>eminit<br>scio<br>Aquiti<br>mortis <br>t[a]e=<br>duisti"
"EDR127811","Icar(us)"
"EDR127813","R&#803;A&#803;<br>VR"
"EDR127833","Nauplius "
"EDR127838","q&#803;uo&#803;&#7779; "
"EDR128017","&#12296;:columna I&#12297;<br>D<br>D<br><br>&#12296;:columna II&#12297;<br>R<br>Ata(vus?)<br>B<br>((:caduceus))<br>S<br>S<br><br>&#12296;:columna III&#12297;<br>((:caduceus))<br>S<br>CX<br><br>&#12296;:columna IV&#12297;<br>S<br>S<br>V&#770;ôt&#770;r(oni?)<br><br>&#12296;:columna V&#12297;<br>Aseli=<br>a=<br>m (:Asellam)<br>CXL"
"EDR128055","CHA"
"EDR128061","Anchario<br>lina"
"EDR128063","OBR"
"EDR128294","((:aves oppositae))"
"EDR128546","IIIIIIIIIIII<br>IIIIIIIIIIIIIII<br>IIIIIIIIIIIIII<br>IIII<br>"
"EDR128547","XII"
"EDR128548","IIIIIIIIIII"
"EDR128551","VII"
"EDR128553","C t C F<br>C C"
"EDR128557","Mula fellaat (:fellat) [A]ntoni<br>Fortunata a(eris) a(ssibus) II<br>((:herma mulieris))"
"EDR128562","IIIIII &#12296;:ianua&#12297; IIIIIIIIIIIIIIIIII IIIIIIIIIIIIIII IIIIIIIII<br>IIIIIIIIIIIIIIII IIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIIII"
"EDR128564","bono ut sit"
"EDR127185","C(aius) Voconius"
"EDR127194","X<br>((:gladiator ad d. armatus))"
"EDR127416","&#12296;:ad perpendiculum&#12297;<br><br>&#12296;:columna I = stria 12&#12297;<br>X<br>C<br>I<br>X<br><br>&#12296;:columna II = stria 13&#12297;<br>D<br>D<br>D C<br>V<br>V<br>V<br>X X<br>fel(iciter?)<br><br>&#12296;:columna III = stria 14&#12297;<br>D<br>D<br>X X"
"EDR127807","((centuria)) Valentis"
"EDR127809","Primu (:Primus) <br>AV (:ave) vale"
"EDR127810","S H S "
"EDR127828","Numina<br>Di<br>"
"EDR128064","L(ucius) Atilius"
"EDR128277","T[o]tus"
"EDR128556","emis CC K(?)"
"EDR127412","M B M XX"
"EDR127417","rotun(dus)<br>R O<br>R<br>R  SS<br>"
"EDR127419","X"
"EDR127790","Nauplius<br>Clappo salu(tem)"
"EDR127980","&#12296;:columna I, stria 7&#12297;<br>C   <br>&#12296;:columna II, stria 8&#12297;<br>A"
"EDR128118","Chloe <br>&#12296;:vacat&#12297;A"
"EDR128542","L X I I I I"
"EDR128552","II"
"EDR128555","XXIIIIIII<br>VIIII VIII VII<br>IIII IIIIII IIIIII IIIIIIII IIIIIIII<br>X IIIIIIII IIIIIIII IIIIII<br>IIIIII XXIIIIIIIIII<br>XVII IIIIIIIIIIIII<br>XXXXX X IIIIIII III<br>IIIII XXXXX"
"EDR128561","IIIIIIIII  "
"EDR128565","IIIIIIIIII"
"EDR128566","S "
"EDR128616","Lucmo (:Lucumo)<br>quis CCC+<br>&#12296;:vacat&#12297; S"
"EDR127186","Albanius<br>Comunis (:Communis)<br>Aurelius<br>&#7750;oniu"
"EDR127218","((:avis ad sin.))"
"EDR127409","Q R"
"EDR127426","Matris <br>Heleusinae (:Eleusinae)"
"EDR128582","((:equi caput et thorax))"
"EDR128615","A A<br>A(ulus) Septumiu[---]icio Fabio<br>a(ssibus) ((%1000)) IIII"
"EDR128617","&#7746;&#7841;rcius Atimetys (:Atimetus)"
"EDR128583","((:Medusae? caput prospiciens))"
"EDR127398","Numeru(&#7779;)<br>CENTRV+ <br>D(ecimus) Iulius <br>T(h)r&#7841;[s]o(?)<br>Sacenio <br>loco (?)<br>habeo <br>P(ublius) +Iuilius<br>Trif&#803;olio <br>C(ai) Fla&#770;vi <br>libra(ri) <br>C(ai) Flav(i) <br>librari <br>dom&#770;us<br>T(iti) Loli (:Lolli)<br>&#7841;ger <br>emtu (:emptus) IIXS"
"EDR128066","C+++"
"EDR128067","((centuria)) Luccei "
"EDR128080","&#923;VCVLVS"
"EDR128082","((centuria)) Aebuti "
"EDR128084","ALO"
"EDR128585","((:caput hominis ad sin.))"
"EDR128660","Dos I a(ssis)"
"EDR127814","XVI"
"EDR127982","&#12296;:ad perpendiculum&#12297;<br>M(arci) Brut(t)idi Stati"
"EDR128065","Placidus "
"EDR128567","&#928;IIII "
"EDR128662","Dos <br>I a(ssis)"
"EDR127830","Menedemerumenus"
"EDR127845","&#12296;:ad perpendiculum&#12297;<br>PVB"
"EDR128016","LAR"
"EDR128051","COLA"
"EDR128060","cyli"
"EDR128543","Alica<br>p(ondo)  IIIII"
"EDR128544","IIIIIIIIIIIIIII <br>IIIIIIIIIIIIIII "
"EDR128550","DCCXCVIII"
"EDR128663","&#12296;:stria 10&#12297;<br>V<br><br>&#12296;:stria 12&#12297;<br>R <br><br>&#12296;:striae 15-16&#12297;<br>SSS <br><br>&#12296;:stria 17&#12297;<br>R"
"EDR128117","O HLO<br>âv(?)"
"EDR127405","Qui mihi docendi<br>dederit mercedem,<br>abeat (:habeat) quod<br>petit a superis"
"EDR127831","VR"
"EDR128290","&#12296;:textus non legitur&#12297;"
"EDR128661","Atilius a(ssem) I<br>Atilius a(ssem) I<br>Atilius a(ssem) I"
"EDR128733","Alban&#7909;[s] a(ssem) I<br>&#7840;lbanus a(ssem) I<br>[A]&#7735;banus a(ssem) I<br>A[lb]anus a(sses) II<br>Agath&#7865;[m]er(us) a(sses) II<br>Acathe&#7747;&#7865;r(us) (:Agathemerus) a(ssem) I<br>Acanthus"
"EDR128734","pane(m) a(ssibus) II<br>purm(entarium) a(ssibus) III<br>oleum a(sse) I<br>OXC a(ssibus) IIII<br>vinum a(sse) s(emis)<br>casium (:caseum) a(sse) s(emis)<br>OM+ a(ssibus) IIII<br>vinum a(sse) s(emis)<br>XI K(alendas) ac(ce)pi ((denarium)) I<br>vinum a(sse) I<br>porcin(am) a(sse) I<br>viinum (:vinum) a(sse) s(emis)<br>casiûm (:caseum) a(sse) s(emis)<br>L(ucius) Gavi+ IIII s(emis) <br>vinum a(sse) s(emis)<br>carn(em) a(sse) I<br>vin[u]m a(sse) I"
"EDR128737","Macer<br>C(aius) Popillius"
"EDR127193","Galerii"
"EDR127297","((centuria)) Clementis"
"EDR127407","SIA&#770;NEI"
"EDR127421","&#12296;:stria 6&#12297;<br>Q <br>S<br>S<br><br>&#12296;:stria 7&#12297;<br>QII<br>SSS"
"EDR127816","Mystice va(le)"
"EDR127817","Chl · oe · va"
"EDR127820","Aristo<br>Tosori (:Tonsori?)<br>"
"EDR127847","T&#770;îb&#770;er"
"EDR127971","Acan[th]us hic"
"EDR127973","Siicia (:Siccia) X"
"EDR128278","&#12296;:ad perpendiculum&#12297;<br>+IRON<br>"
"EDR128286","Fortis"
"EDR128554","II II II"
"EDR128559","Idibus Iulis<br>inaures postas (:positas) ad Faustilla(m)<br>pro ((denarium)) II usura(m) deduxit aeris a(ssem)<br>ex sum(ma?) XXX"
"EDR128560","Dap&#770;hnus<br>Felix<br>Agele (:Aegle?)<br>Attice"
"EDR128581","A(ssibus) VIII<br>Stabuli"
"EDR128641","Roma "
"EDR128642","L(ucius)<br>Com(inius?) "
"EDR128643","VCVI"
"EDR128644","Er&#818;os "
"EDR128645","((:circulus circulum continens, tracti cum circino))<br>M&#818;(arcus) C&#818;e&#818;r&#818;r&#818;i&#818;nus"
"EDR128647","XIIII "
"EDR128648","IIIIII"
"EDR128649","IIII"
"EDR128650","X "
"EDR128738","((:trophaeum?))<br>ATIIIIVS NAS<br>II+"
"EDR128751","&#12296;:stria 6&#12297;<br>X<br> <br>&#12296;:stria 7&#12297;<br>MV<br>X<br>"
"EDR128754","&#12296;:stria 5&#12297;<br>X<br><br>&#12296;:stria 15&#12297;<br>((denarius))"
"EDR128759","&#12296;:in striis variis&#12297;<br>MI<br> <br>CII<br> <br>X<br> <br>XXI<br> <br>I&#773;I&#773;I&#773;I&#773;"
"EDR128760","&#12296;:stria 11&#12297;<br>((signum))<br><br>&#12296;:stria 13&#12297;<br>V <br><br>&#12296;:stria 14&#12297;<br>M"
